region,ruta,nombre,extension,tamano_bytes,tamano_h,tipo_detectado,idioma,serie,volumen,numero,patron,autor_carpeta,autores,formato
AMERICANO,/Volumes/AMERICA/AMERICANO/Art Spiegelman/Sin la sombra de las torres (Art Spiegelman)/Sin la sombra de las torres (Art Spiegelman).cbz,Sin la sombra de las torres (Art Spiegelman).cbz,.cbz,22664247,21.6 MB,desconocido,,Sin la sombra de las torres,,,solo_nombre,Art Spiegelman,Art Spiegelman,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/Arthur Adams/MonkeyMan & O'Brien (Arthur Adams)/MonkeyMan & O'Brien Vol.1 (Arthur Adams).cbr,MonkeyMan & O'Brien Vol.1 (Arthur Adams).cbr,.cbr,51380080,49.0 MB,desconocido,,MonkeyMan & O'Brien Vol.1,,,solo_nombre,Arthur Adams,Arthur Adams,volumen
AMERICANO,/Volumes/AMERICA/AMERICANO/Arthur Adams/MonkeyMan & O'Brien (Arthur Adams)/MonkeyMan & O'Brien Vol.2 (Arthur Adams).cbr,MonkeyMan & O'Brien Vol.2 (Arthur Adams).cbr,.cbr,59496416,56.7 MB,desconocido,,MonkeyMan & O'Brien Vol.2,,,solo_nombre,Arthur Adams,Arthur Adams,volumen
AMERICANO,/Volumes/AMERICA/AMERICANO/Arthur Adams/MonkeyMan & O'Brien (Arthur Adams)/Gen13 & Monkeyman y O'Brien (Arthur Adams)/Gen13:Monkeyman y O'Brien #01 (Arthur Adams).cbr,Gen13:Monkeyman y O'Brien #01 (Arthur Adams).cbr,.cbr,16172141,15.4 MB,desconocido,,Gen13:Monkeyman y O'Brien #01,,,solo_nombre,Arthur Adams,Arthur Adams,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arthur Adams/MonkeyMan & O'Brien (Arthur Adams)/Gen13 & Monkeyman y O'Brien (Arthur Adams)/Gen13:Monkeyman y O'Brien #02 (Arthur Adams).cbr,Gen13:Monkeyman y O'Brien #02 (Arthur Adams).cbr,.cbr,16925896,16.1 MB,desconocido,,Gen13:Monkeyman y O'Brien #02,,,solo_nombre,Arthur Adams,Arthur Adams,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rage (Arvid Nelson & Andrea Mutti)/Rage #01 (Arvid Nelson & Andrea Mutti).cbr,Rage #01 (Arvid Nelson & Andrea Mutti).cbr,.cbr,15141056,14.4 MB,desconocido,,Rage #01,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Andrea Mutti,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rage (Arvid Nelson & Andrea Mutti)/Rage #02 (Arvid Nelson & Andrea Mutti).cbr,Rage #02 (Arvid Nelson & Andrea Mutti).cbr,.cbr,15562276,14.8 MB,desconocido,,Rage #02,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Andrea Mutti,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rage (Arvid Nelson & Andrea Mutti)/Rage #03 (Arvid Nelson & Andrea Mutti).cbr,Rage #03 (Arvid Nelson & Andrea Mutti).cbr,.cbr,15466686,14.8 MB,desconocido,,Rage #03,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Andrea Mutti,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #00 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #00 (Arvid Nelson & Eric Johnson).cbr,.cbr,8466441,8.1 MB,desconocido,,Rex Mundi #00,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #01 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #01 (Arvid Nelson & Eric Johnson).cbr,.cbr,20896802,19.9 MB,desconocido,,Rex Mundi #01,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #02 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #02 (Arvid Nelson & Eric Johnson).cbr,.cbr,9686165,9.2 MB,desconocido,,Rex Mundi #02,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #03 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #03 (Arvid Nelson & Eric Johnson).cbr,.cbr,9228117,8.8 MB,desconocido,,Rex Mundi #03,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #04 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #04 (Arvid Nelson & Eric Johnson).cbr,.cbr,9733442,9.3 MB,desconocido,,Rex Mundi #04,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Rex Mundi (Arvid Nelson & Eric Johnson) [18]/Rex Mundi #05 (Arvid Nelson & Eric Johnson).cbr,Rex Mundi #05 (Arvid Nelson & Eric Johnson).cbr,.cbr,12420646,11.8 MB,desconocido,,Rex Mundi #05,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Eric Johnson,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Skull Island El Nacimiento de Kong (Arvid Nelson & Zid)/Skull Island El Nacimiento de Kong #01 (Arvid Nelson & Zid).cbz,Skull Island El Nacimiento de Kong #01 (Arvid Nelson & Zid).cbz,.cbz,38961389,37.2 MB,desconocido,,Skull Island El Nacimiento de Kong #01,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Zid,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Skull Island El Nacimiento de Kong (Arvid Nelson & Zid)/Skull Island El Nacimiento de Kong #02 (Arvid Nelson & Zid).cbz,Skull Island El Nacimiento de Kong #02 (Arvid Nelson & Zid).cbz,.cbz,34545253,32.9 MB,desconocido,,Skull Island El Nacimiento de Kong #02,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Zid,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Skull Island El Nacimiento de Kong (Arvid Nelson & Zid)/Skull Island El Nacimiento de Kong #03 (Arvid Nelson & Zid).cbz,Skull Island El Nacimiento de Kong #03 (Arvid Nelson & Zid).cbz,.cbz,45187127,43.1 MB,desconocido,,Skull Island El Nacimiento de Kong #03,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Zid,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Arvid Nelson/Skull Island El Nacimiento de Kong (Arvid Nelson & Zid)/Skull Island El Nacimiento de Kong #04 (Arvid Nelson & Zid).cbz,Skull Island El Nacimiento de Kong #04 (Arvid Nelson & Zid).cbz,.cbz,48639479,46.4 MB,desconocido,,Skull Island El Nacimiento de Kong #04,,,solo_nombre,Arvid Nelson,Arvid Nelson ; Zid,numero_suelto
